4172,400,1
5175,400,1
6178,400,1
7181,401,1
8184,405,1
9187,407,1
10190,405,1
11193,405,1
12196,407,1
13199,455,1
14202,451,1
15205,502,1
16208,597,1
17211,692,1
18214,1153,0
19218,1360,0
20220,3523,0
21224,2274,0
22226,1266,0
23230,882,1
24232,1041,0
25236,728,1
26238,702,1
27242,853,1
28244,1295,0
29248,1153,0
30252,763,1
31254,692,1
32258,4160,0
33260,4442,0
34264,2621,0
35266,1651,0
36270,1081,0
37273,972,1
38276,865,1
39279,1004,0
40282,907,1
41285,795,1
42288,754,1
43291,717,1
44294,710,1
45297,714,1
46300,1295,0
47303,897,1
48306,907,1
49309,1324,0
49812,1788,0
50814,1215,0
51818,7118,0
52822,6079,0
53824,7213,0
54828,5961,0
55830,4005,0
56834,4584,0
57836,2027,0
58840,1621,0
59843,1302,0
60846,1041,0
61849,1522,0
62852,995,1
63855,882,1
64858,1060,0
